,State,County,Heart Disease Mortality Rate,Value Unit,Location ID
554,AL,Cleburne County,557.8,"per 100,000 population",1029
555,AL,Coffee County,473.3,"per 100,000 population",1031
556,AL,Colbert County,454.1,"per 100,000 population",1033
557,AL,Conecuh County,436.3,"per 100,000 population",1035
558,AL,Coosa County,472.5,"per 100,000 population",1037
559,AL,Covington County,493.3,"per 100,000 population",1039
560,AL,Crenshaw County,458.1,"per 100,000 population",1041
561,AL,Cullman County,507.6,"per 100,000 population",1043
562,AL,Dale County,420.2,"per 100,000 population",1045
563,AL,Dallas County,614.8,"per 100,000 population",1047
564,AL,DeKalb County,487.8,"per 100,000 population",1049
565,AL,Elmore County,452.0,"per 100,000 population",1051
566,AL,Escambia County,421.6,"per 100,000 population",1053
567,AL,Etowah County,531.9,"per 100,000 population",1055
568,AL,Fayette County,495.5,"per 100,000 population",1057
569,AL,Franklin County,472.1,"per 100,000 population",1059
570,AL,Geneva County,455.3,"per 100,000 population",1061
571,AL,Greene County,504.7,"per 100,000 population",1063
572,AL,Hale County,500.2,"per 100,000 population",1065
573,AL,Henry County,409.8,"per 100,000 population",1067
574,AL,Houston County,363.3,"per 100,000 population",1069
575,AL,Jackson County,523.4,"per 100,000 population",1071
576,AL,Jefferson County,369.8,"per 100,000 population",1073
577,AL,Lamar County,439.9,"per 100,000 population",1075
578,AL,Lauderdale County,399.4,"per 100,000 population",1077
579,AL,Lawrence County,479.4,"per 100,000 population",1079
580,AL,Lee County,318.8,"per 100,000 population",1081
581,AL,Limestone County,423.3,"per 100,000 population",1083
582,AL,Lowndes County,392.0,"per 100,000 population",1085
583,AL,Macon County,537.9,"per 100,000 population",1087
584,AL,Madison County,385.9,"per 100,000 population",1089
585,AL,Marengo County,611.7,"per 100,000 population",1091
586,AL,Marion County,553.3,"per 100,000 population",1093
587,AL,Marshall County,467.9,"per 100,000 population",1095
588,AL,Mobile County,446.3,"per 100,000 population",1097
589,AL,Monroe County,386.7,"per 100,000 population",1099
590,AL,Montgomery County,329.0,"per 100,000 population",1101
591,AL,Morgan County,470.3,"per 100,000 population",1103
592,AL,Perry County,513.7,"per 100,000 population",1105
593,AL,Pickens County,453.0,"per 100,000 population",1107
594,AL,Pike County,419.6,"per 100,000 population",1109
595,AL,Randolph County,569.8,"per 100,000 population",1111
596,AL,Russell County,400.8,"per 100,000 population",1113
597,AL,St. Clair County,435.3,"per 100,000 population",1115
598,AL,Shelby County,299.9,"per 100,000 population",1117
599,AL,Sumter County,434.6,"per 100,000 population",1119
600,AL,Talladega County,513.1,"per 100,000 population",1121
601,AL,Tallapoosa County,460.1,"per 100,000 population",1123
602,AL,Tuscaloosa County,449.2,"per 100,000 population",1125
603,AL,Walker County,769.0,"per 100,000 population",1127
604,AL,Washington County,427.8,"per 100,000 population",1129
605,AL,Wilcox County,547.1,"per 100,000 population",1131
606,AL,Winston County,451.7,"per 100,000 population",1133
1764,AR,Arkansas County,451.6,"per 100,000 population",5001
1765,AR,Ashley County,435.3,"per 100,000 population",5003
1766,AR,Baxter County,326.8,"per 100,000 population",5005
1767,AR,Benton County,328.2,"per 100,000 population",5007
1768,AR,Boone County,528.9,"per 100,000 population",5009
1769,AR,Bradley County,533.5,"per 100,000 population",5011
1770,AR,Calhoun County,460.0,"per 100,000 population",5013
1771,AR,Carroll County,454.0,"per 100,000 population",5015
1772,AR,Chicot County,466.2,"per 100,000 population",5017
1773,AR,Clark County,442.7,"per 100,000 population",5019
1774,AR,Clay County,479.7,"per 100,000 population",5021
1775,AR,Cleburne County,294.2,"per 100,000 population",5023
1776,AR,Cleveland County,426.7,"per 100,000 population",5025
1777,AR,Columbia County,452.6,"per 100,000 population",5027
1778,AR,Conway County,428.4,"per 100,000 population",5029
1779,AR,Craighead County,465.0,"per 100,000 population",5031
1780,AR,Crawford County,382.6,"per 100,000 population",5033
1781,AR,Crittenden County,400.1,"per 100,000 population",5035
1782,AR,Cross County,458.2,"per 100,000 population",5037
1783,AR,Dallas County,434.5,"per 100,000 population",5039
1784,AR,Desha County,804.3,"per 100,000 population",5041
1785,AR,Drew County,416.3,"per 100,000 population",5043
1786,AR,Faulkner County,360.9,"per 100,000 population",5045
1787,AR,Franklin County,456.1,"per 100,000 population",5047
1788,AR,Fulton County,389.9,"per 100,000 population",5049
1789,AR,Garland County,447.4,"per 100,000 population",5051
1790,AR,Grant County,392.3,"per 100,000 population",5053
1791,AR,Greene County,428.8,"per 100,000 population",5055
1792,AR,Hempstead County,496.9,"per 100,000 population",5057
1793,AR,Hot Spring County,420.1,"per 100,000 population",5059
1794,AR,Howard County,546.8,"per 100,000 population",5061
1795,AR,Independence County,482.9,"per 100,000 population",5063
1796,AR,Izard County,387.7,"per 100,000 population",5065
1797,AR,Jackson County,478.2,"per 100,000 population",5067
1798,AR,Jefferson County,492.2,"per 100,000 population",5069
1799,AR,Johnson County,435.9,"per 100,000 population",5071
1800,AR,Lafayette County,412.6,"per 100,000 population",5073
1801,AR,Lawrence County,453.1,"per 100,000 population",5075
1802,AR,Lee County,477.4,"per 100,000 population",5077
1803,AR,Lincoln County,537.1,"per 100,000 population",5079
1804,AR,Little River County,470.7,"per 100,000 population",5081
1805,AR,Logan County,420.5,"per 100,000 population",5083
1806,AR,Lonoke County,354.2,"per 100,000 population",5085
1807,AR,Madison County,588.3,"per 100,000 population",5087
1808,AR,Marion County,428.2,"per 100,000 population",5089
1809,AR,Miller County,408.2,"per 100,000 population",5091
1810,AR,Mississippi County,554.4,"per 100,000 population",5093
1811,AR,Monroe County,618.3,"per 100,000 population",5095
1812,AR,Montgomery County,425.2,"per 100,000 population",5097
1813,AR,Nevada County,467.8,"per 100,000 population",5099
1814,AR,Newton County,519.1,"per 100,000 population",5101
1815,AR,Ouachita County,441.1,"per 100,000 population",5103
1816,AR,Perry County,400.6,"per 100,000 population",5105
1817,AR,Phillips County,396.3,"per 100,000 population",5107
1818,AR,Pike County,482.3,"per 100,000 population",5109
1819,AR,Poinsett County,549.7,"per 100,000 population",5111
1820,AR,Polk County,474.1,"per 100,000 population",5113
1821,AR,Pope County,398.7,"per 100,000 population",5115
1822,AR,Prairie County,400.4,"per 100,000 population",5117
1823,AR,Pulaski County,377.8,"per 100,000 population",5119
1824,AR,Randolph County,442.7,"per 100,000 population",5121
1825,AR,St. Francis County,509.6,"per 100,000 population",5123
1826,AR,Saline County,358.7,"per 100,000 population",5125
1827,AR,Scott County,442.6,"per 100,000 population",5127
1828,AR,Searcy County,381.5,"per 100,000 population",5129
1829,AR,Sebastian County,400.1,"per 100,000 population",5131
1830,AR,Sevier County,460.6,"per 100,000 population",5133
1831,AR,Sharp County,453.4,"per 100,000 population",5135
1832,AR,Stone County,330.4,"per 100,000 population",5137
1833,AR,Union County,422.8,"per 100,000 population",5139
1834,AR,Van Buren County,351.4,"per 100,000 population",5141
1835,AR,Washington County,620.7,"per 100,000 population",5143
1836,AR,White County,498.6,"per 100,000 population",5145
1837,AR,Woodruff County,538.7,"per 100,000 population",5147
1838,AR,Yell County,449.6,"per 100,000 population",5149
3132,AS,American Samoa County,282.4,"per 100,000 population",60000
3168,AZ,Apache County,272.9,"per 100,000 population",4001
3169,AZ,Cochise County,305.0,"per 100,000 population",4003
3170,AZ,Coconino County,245.7,"per 100,000 population",4005
3171,AZ,Gila County,327.1,"per 100,000 population",4007
3172,AZ,Graham County,286.2,"per 100,000 population",4009
3173,AZ,Greenlee County,304.8,"per 100,000 population",4011
3174,AZ,La Paz County,351.3,"per 100,000 population",4012
3175,AZ,Maricopa County,259.1,"per 100,000 population",4013
3176,AZ,Mohave County,436.5,"per 100,000 population",4015
3177,AZ,Navajo County,270.0,"per 100,000 population",4017
3178,AZ,Pima County,268.2,"per 100,000 population",4019
3179,AZ,Pinal County,235.0,"per 100,000 population",4021
3180,AZ,Santa Cruz County,245.1,"per 100,000 population",4023
3181,AZ,Yavapai County,272.0,"per 100,000 population",4025
3182,AZ,Yuma County,251.5,"per 100,000 population",4027
3456,CA,Alameda County,218.0,"per 100,000 population",6001
3457,CA,Alpine County,319.7,"per 100,000 population",6003
3458,CA,Amador County,293.5,"per 100,000 population",6005
3459,CA,Butte County,342.0,"per 100,000 population",6007
3460,CA,Calaveras County,301.1,"per 100,000 population",6009
3461,CA,Colusa County,309.9,"per 100,000 population",6011
3462,CA,Contra Costa County,213.0,"per 100,000 population",6013
3463,CA,Del Norte County,305.2,"per 100,000 population",6015
3464,CA,El Dorado County,256.6,"per 100,000 population",6017
3465,CA,Fresno County,326.0,"per 100,000 population",6019
3466,CA,Glenn County,339.2,"per 100,000 population",6021
3467,CA,Humboldt County,321.7,"per 100,000 population",6023
3468,CA,Imperial County,266.8,"per 100,000 population",6025
3469,CA,Inyo County,312.1,"per 100,000 population",6027
3470,CA,Kern County,379.3,"per 100,000 population",6029
3471,CA,Kings County,336.6,"per 100,000 population",6031
3472,CA,Lake County,316.9,"per 100,000 population",6033
3473,CA,Lassen County,342.1,"per 100,000 population",6035
3474,CA,Los Angeles County,290.2,"per 100,000 population",6037
3475,CA,Madera County,289.2,"per 100,000 population",6039
3476,CA,Marin County,182.4,"per 100,000 population",6041
3477,CA,Mariposa County,341.2,"per 100,000 population",6043
3478,CA,Mendocino County,285.8,"per 100,000 population",6045
3479,CA,Merced County,323.2,"per 100,000 population",6047
3480,CA,Modoc County,355.0,"per 100,000 population",6049
3481,CA,Mono County,225.4,"per 100,000 population",6051
3482,CA,Monterey County,209.7,"per 100,000 population",6053
3483,CA,Napa County,256.2,"per 100,000 population",6055
3484,CA,Nevada County,266.6,"per 100,000 population",6057
3485,CA,Orange County,254.4,"per 100,000 population",6059
3486,CA,Placer County,245.7,"per 100,000 population",6061
3487,CA,Plumas County,310.5,"per 100,000 population",6063
3488,CA,Riverside County,336.2,"per 100,000 population",6065
3489,CA,Sacramento County,294.2,"per 100,000 population",6067
3490,CA,San Benito County,242.4,"per 100,000 population",6069
3491,CA,San Bernardino County,359.8,"per 100,000 population",6071
3492,CA,San Diego County,251.3,"per 100,000 population",6073
3493,CA,San Francisco County,212.9,"per 100,000 population",6075
3494,CA,San Joaquin County,308.0,"per 100,000 population",6077
3495,CA,San Luis Obispo County,240.8,"per 100,000 population",6079
3496,CA,San Mateo County,211.3,"per 100,000 population",6081
3497,CA,Santa Barbara County,254.1,"per 100,000 population",6083
3498,CA,Santa Clara County,193.9,"per 100,000 population",6085
3499,CA,Santa Cruz County,215.1,"per 100,000 population",6087
3500,CA,Shasta County,378.7,"per 100,000 population",6089
3501,CA,Sierra County,345.9,"per 100,000 population",6091
3502,CA,Siskiyou County,343.2,"per 100,000 population",6093
3503,CA,Solano County,239.9,"per 100,000 population",6095
3504,CA,Sonoma County,249.8,"per 100,000 population",6097
3505,CA,Stanislaus County,361.0,"per 100,000 population",6099
3506,CA,Sutter County,309.3,"per 100,000 population",6101
3507,CA,Tehama County,363.0,"per 100,000 population",6103
3508,CA,Trinity County,324.3,"per 100,000 population",6105
3509,CA,Tulare County,364.6,"per 100,000 population",6107
3510,CA,Tuolumne County,321.6,"per 100,000 population",6109
3511,CA,Ventura County,255.4,"per 100,000 population",6111
3512,CA,Yolo County,245.7,"per 100,000 population",6113
3513,CA,Yuba County,392.5,"per 100,000 population",6115
4522,CO,Adams County,257.6,"per 100,000 population",8001
4523,CO,Alamosa County,349.3,"per 100,000 population",8003
4524,CO,Arapahoe County,223.5,"per 100,000 population",8005
4525,CO,Archuleta County,236.6,"per 100,000 population",8007
4526,CO,Baca County,325.3,"per 100,000 population",8009
4527,CO,Bent County,338.0,"per 100,000 population",8011
4528,CO,Boulder County,200.0,"per 100,000 population",8013
4529,CO,Broomfield County,198.0,"per 100,000 population",8014
4530,CO,Chaffee County,223.1,"per 100,000 population",8015
4531,CO,Cheyenne County,272.5,"per 100,000 population",8017
4532,CO,Clear Creek County,220.5,"per 100,000 population",8019
4533,CO,Conejos County,329.1,"per 100,000 population",8021
4534,CO,Costilla County,242.9,"per 100,000 population",8023
4535,CO,Crowley County,272.5,"per 100,000 population",8025
4536,CO,Custer County,235.6,"per 100,000 population",8027
4537,CO,Delta County,317.2,"per 100,000 population",8029
4538,CO,Denver County,261.9,"per 100,000 population",8031
4539,CO,Dolores County,226.5,"per 100,000 population",8033
4540,CO,Douglas County,165.0,"per 100,000 population",8035
4541,CO,Eagle County,123.2,"per 100,000 population",8037
4542,CO,Elbert County,257.5,"per 100,000 population",8039
4543,CO,El Paso County,267.5,"per 100,000 population",8041
4544,CO,Fremont County,297.1,"per 100,000 population",8043
4545,CO,Garfield County,226.1,"per 100,000 population",8045
4546,CO,Gilpin County,243.6,"per 100,000 population",8047
4547,CO,Grand County,164.1,"per 100,000 population",8049
4548,CO,Gunnison County,177.3,"per 100,000 population",8051
4549,CO,Hinsdale County,227.6,"per 100,000 population",8053
4550,CO,Huerfano County,284.1,"per 100,000 population",8055
4551,CO,Jackson County,222.8,"per 100,000 population",8057
4552,CO,Jefferson County,261.1,"per 100,000 population",8059
4553,CO,Kiowa County,340.0,"per 100,000 population",8061
4554,CO,Kit Carson County,263.6,"per 100,000 population",8063
4555,CO,Lake County,142.1,"per 100,000 population",8065
4556,CO,La Plata County,255.2,"per 100,000 population",8067
4557,CO,Larimer County,220.6,"per 100,000 population",8069
4558,CO,Las Animas County,302.0,"per 100,000 population",8071
4559,CO,Lincoln County,254.6,"per 100,000 population",8073
4560,CO,Logan County,283.5,"per 100,000 population",8075
4561,CO,Mesa County,324.7,"per 100,000 population",8077
4562,CO,Mineral County,269.8,"per 100,000 population",8079
4563,CO,Moffat County,263.8,"per 100,000 population",8081
4564,CO,Montezuma County,263.8,"per 100,000 population",8083
4565,CO,Montrose County,283.2,"per 100,000 population",8085
4566,CO,Morgan County,256.8,"per 100,000 population",8087
4567,CO,Otero County,376.1,"per 100,000 population",8089
4568,CO,Ouray County,138.5,"per 100,000 population",8091
4569,CO,Park County,212.0,"per 100,000 population",8093
4570,CO,Phillips County,286.4,"per 100,000 population",8095
4571,CO,Pitkin County,96.6,"per 100,000 population",8097
4572,CO,Prowers County,311.3,"per 100,000 population",8099
4573,CO,Pueblo County,239.4,"per 100,000 population",8101
4574,CO,Rio Blanco County,256.2,"per 100,000 population",8103
4575,CO,Rio Grande County,310.0,"per 100,000 population",8105
4576,CO,Routt County,158.5,"per 100,000 population",8107
4577,CO,Saguache County,270.9,"per 100,000 population",8109
4578,CO,San Juan County,219.7,"per 100,000 population",8111
4579,CO,San Miguel County,77.2,"per 100,000 population",8113
4580,CO,Sedgwick County,300.8,"per 100,000 population",8115
4581,CO,Summit County,102.2,"per 100,000 population",8117
4582,CO,Teller County,256.2,"per 100,000 population",8119
4583,CO,Washington County,245.7,"per 100,000 population",8121
4584,CO,Weld County,239.3,"per 100,000 population",8123
4585,CO,Yuma County,278.7,"per 100,000 population",8125
5551,CT,Hartford County,279.0,"per 100,000 population",9003
5696,CT,Fairfield County,259.9,"per 100,000 population",9001
5697,CT,Litchfield County,288.8,"per 100,000 population",9005
5698,CT,Middlesex County,277.0,"per 100,000 population",9007
5699,CT,New Haven County,284.4,"per 100,000 population",9009
5700,CT,New London County,267.8,"per 100,000 population",9011
5701,CT,Tolland County,290.6,"per 100,000 population",9013
5702,CT,Windham County,328.7,"per 100,000 population",9015
5854,DC,District of Columbia County,380.3,"per 100,000 population",11001
5886,DE,Kent County,345.7,"per 100,000 population",10001
5887,DE,New Castle County,287.9,"per 100,000 population",10003
5888,DE,Sussex County,330.7,"per 100,000 population",10005
5958,FL,Alachua County,243.5,"per 100,000 population",12001
5959,FL,Baker County,363.0,"per 100,000 population",12003
5960,FL,Bay County,370.1,"per 100,000 population",12005
5961,FL,Bradford County,328.5,"per 100,000 population",12007
5962,FL,Brevard County,319.4,"per 100,000 population",12009
5963,FL,Broward County,272.5,"per 100,000 population",12011
5964,FL,Calhoun County,370.5,"per 100,000 population",12013
5965,FL,Charlotte County,235.6,"per 100,000 population",12015
5966,FL,Citrus County,400.6,"per 100,000 population",12017
5967,FL,Clay County,280.1,"per 100,000 population",12019
5968,FL,Collier County,172.9,"per 100,000 population",12021
5969,FL,Columbia County,365.8,"per 100,000 population",12023
5970,FL,DeSoto County,248.8,"per 100,000 population",12027
5971,FL,Dixie County,349.5,"per 100,000 population",12029
5972,FL,Duval County,320.0,"per 100,000 population",12031
5973,FL,Escambia County,347.8,"per 100,000 population",12033
5974,FL,Flagler County,277.3,"per 100,000 population",12035
5975,FL,Franklin County,347.2,"per 100,000 population",12037
5976,FL,Gadsden County,307.0,"per 100,000 population",12039
5977,FL,Gilchrist County,279.7,"per 100,000 population",12041
5978,FL,Glades County,242.5,"per 100,000 population",12043
5979,FL,Gulf County,367.0,"per 100,000 population",12045
5980,FL,Hamilton County,385.4,"per 100,000 population",12047
5981,FL,Hardee County,285.4,"per 100,000 population",12049
5982,FL,Hendry County,338.4,"per 100,000 population",12051
5983,FL,Hernando County,331.9,"per 100,000 population",12053
5984,FL,Highlands County,286.2,"per 100,000 population",12055
5985,FL,Hillsborough County,315.2,"per 100,000 population",12057
5986,FL,Holmes County,446.4,"per 100,000 population",12059
5987,FL,Indian River County,252.3,"per 100,000 population",12061
5988,FL,Jackson County,378.3,"per 100,000 population",12063
5989,FL,Jefferson County,333.3,"per 100,000 population",12065
5990,FL,Lafayette County,363.3,"per 100,000 population",12067
5991,FL,Lake County,292.0,"per 100,000 population",12069
5992,FL,Lee County,219.9,"per 100,000 population",12071
5993,FL,Leon County,274.1,"per 100,000 population",12073
5994,FL,Levy County,362.8,"per 100,000 population",12075
5995,FL,Liberty County,381.9,"per 100,000 population",12077
5996,FL,Madison County,383.3,"per 100,000 population",12079
5997,FL,Manatee County,254.6,"per 100,000 population",12081
5998,FL,Marion County,390.3,"per 100,000 population",12083
5999,FL,Martin County,234.4,"per 100,000 population",12085
6000,FL,Miami-Dade County,285.4,"per 100,000 population",12086
6001,FL,Monroe County,276.6,"per 100,000 population",12087
6002,FL,Nassau County,307.1,"per 100,000 population",12089
6003,FL,Okaloosa County,296.5,"per 100,000 population",12091
6004,FL,Okeechobee County,389.9,"per 100,000 population",12093
6005,FL,Orange County,285.2,"per 100,000 population",12095
6006,FL,Osceola County,319.2,"per 100,000 population",12097
6007,FL,Palm Beach County,241.9,"per 100,000 population",12099
6008,FL,Pasco County,296.9,"per 100,000 population",12101
6009,FL,Pinellas County,275.0,"per 100,000 population",12103
6010,FL,Polk County,308.0,"per 100,000 population",12105
6011,FL,Putnam County,327.8,"per 100,000 population",12107
6012,FL,St. Johns County,225.6,"per 100,000 population",12109
6013,FL,St. Lucie County,267.5,"per 100,000 population",12111
6014,FL,Santa Rosa County,318.9,"per 100,000 population",12113
6015,FL,Sarasota County,207.1,"per 100,000 population",12115
6016,FL,Seminole County,270.8,"per 100,000 population",12117
6017,FL,Sumter County,262.4,"per 100,000 population",12119
6018,FL,Suwannee County,382.8,"per 100,000 population",12121
6019,FL,Taylor County,366.3,"per 100,000 population",12123
6020,FL,Union County,520.3,"per 100,000 population",12125
6021,FL,Volusia County,344.6,"per 100,000 population",12127
6022,FL,Wakulla County,346.7,"per 100,000 population",12129
6023,FL,Walton County,310.8,"per 100,000 population",12131
6024,FL,Washington County,502.2,"per 100,000 population",12133
7184,GA,Appling County,475.9,"per 100,000 population",13001
7185,GA,Atkinson County,464.0,"per 100,000 population",13003
7186,GA,Bacon County,515.4,"per 100,000 population",13005
7187,GA,Baker County,402.7,"per 100,000 population",13007
7188,GA,Baldwin County,512.8,"per 100,000 population",13009
7189,GA,Banks County,324.3,"per 100,000 population",13011
7190,GA,Barrow County,301.9,"per 100,000 population",13013
7191,GA,Bartow County,399.6,"per 100,000 population",13015
7192,GA,Ben Hill County,455.8,"per 100,000 population",13017
7193,GA,Berrien County,426.0,"per 100,000 population",13019
7194,GA,Bibb County,530.2,"per 100,000 population",13021
7195,GA,Bleckley County,392.9,"per 100,000 population",13023
7196,GA,Brantley County,413.2,"per 100,000 population",13025
7197,GA,Brooks County,380.6,"per 100,000 population",13027
7198,GA,Bryan County,362.8,"per 100,000 population",13029
7199,GA,Bulloch County,352.2,"per 100,000 population",13031
7200,GA,Burke County,423.5,"per 100,000 population",13033
7201,GA,Butts County,365.2,"per 100,000 population",13035
7202,GA,Calhoun County,360.6,"per 100,000 population",13037
7203,GA,Camden County,395.4,"per 100,000 population",13039
7204,GA,Candler County,541.2,"per 100,000 population",13043
7205,GA,Carroll County,422.6,"per 100,000 population",13045
7206,GA,Catoosa County,362.2,"per 100,000 population",13047
7207,GA,Charlton County,310.6,"per 100,000 population",13049
7208,GA,Chatham County,355.7,"per 100,000 population",13051
7209,GA,Chattahoochee County,438.9,"per 100,000 population",13053
7210,GA,Chattooga County,510.0,"per 100,000 population",13055
7211,GA,Cherokee County,301.1,"per 100,000 population",13057
7212,GA,Clarke County,338.8,"per 100,000 population",13059
7213,GA,Clay County,421.1,"per 100,000 population",13061
7214,GA,Clayton County,360.6,"per 100,000 population",13063
7215,GA,Clinch County,640.1,"per 100,000 population",13065
7216,GA,Cobb County,266.1,"per 100,000 population",13067
7217,GA,Coffee County,455.2,"per 100,000 population",13069
7218,GA,Colquitt County,366.8,"per 100,000 population",13071
7219,GA,Columbia County,228.9,"per 100,000 population",13073
7220,GA,Cook County,423.4,"per 100,000 population",13075
7221,GA,Coweta County,341.4,"per 100,000 population",13077
7222,GA,Crawford County,480.2,"per 100,000 population",13079
7223,GA,Crisp County,343.0,"per 100,000 population",13081
7224,GA,Dade County,435.9,"per 100,000 population",13083
7225,GA,Dawson County,315.5,"per 100,000 population",13085
7226,GA,Decatur County,440.4,"per 100,000 population",13087
7227,GA,DeKalb County,247.8,"per 100,000 population",13089
7228,GA,Dodge County,375.0,"per 100,000 population",13091
7229,GA,Dooly County,352.2,"per 100,000 population",13093
7230,GA,Dougherty County,320.9,"per 100,000 population",13095
7231,GA,Douglas County,370.9,"per 100,000 population",13097
7232,GA,Early County,464.0,"per 100,000 population",13099
7233,GA,Echols County,343.5,"per 100,000 population",13101
7234,GA,Effingham County,400.0,"per 100,000 population",13103
7235,GA,Elbert County,411.8,"per 100,000 population",13105
7236,GA,Emanuel County,532.1,"per 100,000 population",13107
7237,GA,Evans County,347.6,"per 100,000 population",13109
7238,GA,Fannin County,348.7,"per 100,000 population",13111
7239,GA,Fayette County,245.6,"per 100,000 population",13113
7240,GA,Floyd County,481.8,"per 100,000 population",13115
7241,GA,Forsyth County,257.0,"per 100,000 population",13117
7242,GA,Franklin County,474.1,"per 100,000 population",13119
7243,GA,Fulton County,275.4,"per 100,000 population",13121
7244,GA,Gilmer County,369.2,"per 100,000 population",13123
7245,GA,Glascock County,437.4,"per 100,000 population",13125
7246,GA,Glynn County,356.7,"per 100,000 population",13127
7247,GA,Gordon County,427.0,"per 100,000 population",13129
7248,GA,Grady County,381.1,"per 100,000 population",13131
7249,GA,Greene County,318.3,"per 100,000 population",13133
7250,GA,Gwinnett County,247.4,"per 100,000 population",13135
7251,GA,Habersham County,313.0,"per 100,000 population",13137
7252,GA,Hall County,274.2,"per 100,000 population",13139
7253,GA,Hancock County,338.9,"per 100,000 population",13141
7254,GA,Haralson County,527.7,"per 100,000 population",13143
7255,GA,Harris County,361.9,"per 100,000 population",13145
7256,GA,Hart County,350.1,"per 100,000 population",13147
7257,GA,Heard County,433.9,"per 100,000 population",13149
7258,GA,Henry County,331.8,"per 100,000 population",13151
7259,GA,Houston County,393.6,"per 100,000 population",13153
7260,GA,Irwin County,446.7,"per 100,000 population",13155
7261,GA,Jackson County,355.8,"per 100,000 population",13157
7262,GA,Jasper County,361.5,"per 100,000 population",13159
7263,GA,Jeff Davis County,553.3,"per 100,000 population",13161
7264,GA,Jefferson County,467.9,"per 100,000 population",13163
7265,GA,Jenkins County,363.4,"per 100,000 population",13165
7266,GA,Johnson County,400.4,"per 100,000 population",13167
7267,GA,Jones County,332.7,"per 100,000 population",13169
7268,GA,Lamar County,383.9,"per 100,000 population",13171
7269,GA,Lanier County,347.5,"per 100,000 population",13173
7270,GA,Laurens County,458.4,"per 100,000 population",13175
7271,GA,Lee County,332.8,"per 100,000 population",13177
7272,GA,Liberty County,341.0,"per 100,000 population",13179
7273,GA,Lincoln County,332.8,"per 100,000 population",13181
7274,GA,Long County,346.2,"per 100,000 population",13183
7275,GA,Lowndes County,393.5,"per 100,000 population",13185
7276,GA,Lumpkin County,330.4,"per 100,000 population",13187
7277,GA,McDuffie County,400.1,"per 100,000 population",13189
7278,GA,McIntosh County,320.0,"per 100,000 population",13191
7279,GA,Macon County,446.4,"per 100,000 population",13193
7280,GA,Madison County,357.7,"per 100,000 population",13195
7281,GA,Marion County,417.1,"per 100,000 population",13197
7282,GA,Meriwether County,519.5,"per 100,000 population",13199
7283,GA,Miller County,480.4,"per 100,000 population",13201
7284,GA,Mitchell County,398.2,"per 100,000 population",13205
7285,GA,Monroe County,394.5,"per 100,000 population",13207
7286,GA,Montgomery County,453.8,"per 100,000 population",13209
7287,GA,Morgan County,355.9,"per 100,000 population",13211
7288,GA,Murray County,412.3,"per 100,000 population",13213
7289,GA,Muscogee County,502.7,"per 100,000 population",13215
7290,GA,Newton County,354.4,"per 100,000 population",13217
7291,GA,Oconee County,290.1,"per 100,000 population",13219
7292,GA,Oglethorpe County,295.7,"per 100,000 population",13221
7293,GA,Paulding County,343.4,"per 100,000 population",13223
7294,GA,Peach County,483.9,"per 100,000 population",13225
7295,GA,Pickens County,380.4,"per 100,000 population",13227
